Dish;Sing
Raspberry shortbread;a
Small chocolates filled with marzipan and citrus zest;a
Rice with milk and lemon;a
Sunshine apple tart;a
Croustade gasconne;a
Fine potato, pumpkin and feta tart with Acacia honey;a
Filet mignon in a boursin crust;a
Filet mignon en croûte;a
Mushroom mini quiches;a
Mini quiches with leek and tomato confit;a
Potato pie;a
Paris mushroom pie;a
Sunshine tart with salmon and crème fraîche;a
Salmon, leek and goat's cheese quiche;a
Beet and goat's cheese tart;a
Vanilla puff pastry rolls;a
Aperitif puff pastries with chorizo and Gruyère cheese;a
Meat and mushroom pie;a
Apple and gingerbread pie;an
Frozen fig tart;a
Rolled pears with chocolate chips;a
Banana and Nutella puff pastry;a
Bacon and cheese twists;a
Aperitif sausage rolls;a
White fig tart;a
Sweet palms with Tagada strawberries;a
Pumpkin pie with bacon and caramelized onions;a
Vegetable pâté with crust;a
Potato pie;a
Cherry pie in jars;a
Apple walnut tart;a
Tomato, emmental and mustard tart;a
Rhubarb compote tart;a
Conchiglioni stuffed with ricotta and spinach;a
Gnocchi with spinach and goat's cheese;a
Pumpkin soup almond milk;a
Butternut and pumpkin soup;a
Pumpkin and crumble verrine;a
Pumpkin salad;a
Pumpkin and chestnut verrine;a
Pumpkin muffins;a
Soft pumpkin cake;a
Pumpkin waffle;a
Apple pumpkin cake;an
Sweet pumpkin flan;a
Cream of pumpkin soup with coconut curry;a
Pumpkin chips;a
Pumpkin Risotto;a
Fried Chinese noodles with vegetables;a
Pumpkin stuffed with Reblochon cheese;a
Pumpkin stuffed with meat, rice and mushrooms;a
Cream of pumpkin soup with coral lentils;a
Gratin of pumpkin with Parmesan cheese ;a
Pumpkin stuffed with rice and vegetables;a
Pumpkin and apple jam;a
Gnocchi with mushrooms and pumpkin cream;a
Pumpkin carrot potato soup;a
Pumpkin quinoa;a
Pumpkin Muffins;a
Cod fritters;a
Cabbage stew;a
Bombine Ardéchoise;a
Rostis house;a
Bressiflette;a
Potato mille-feuille with morel mushroom sauce and fresh truffle;a
Tortilla;a
Potato and mushroom fricassee;a
My grandmother's vegetable stuffing;a
Portuguese-style gizzards;a
Oven baked rabbit with prunes;an
Salmon Blanquette;a
Chicken and potato curry;a
Tunisian Chapati;a
Pizza with potatoes and bacon;a
Jerusalem artichoke and potato soup;a
Tuna and potato samoussas;a
Parsnip and potato soup;a
Pizzoccheri;a
Potato and tomato fricassee;a
Potato, tuna and egg salad;a
Potato rata;a
Potatoes with cancoillotte sauce;a
Douez;a
Marka batata;a
Mushroom and Comté Tartiflette;a
Potatoes with maroilles;a
Barbecued garlic potatoes en papillotes;a
Beef liver and potato stir-fry;a
Salmon pavés with spinach;a
Spinach and potato soup;a
Baked potatoes en papillote;a
Stuffed bell pepper with egg;a
Egg-stuffed potatoes;an
Salmon, leek and potato gratin;a
Vegetable and potato tian;a
Spicy Spanish lentils;a
Ham and potato omelette;a
Vinegar french fries;a
Easy goulash;a
Potato muffins;a
Traditional moussaka;a
Bruschetta with roasted cherry tomatoes and burrata;a
Vegetarian spreads with pesto and cherry tomatoes;a
My grandmother's baked parsley tomatoes;a
Tomato and avocado tartare;a
Pistachio-crusted lamb;a
Rabbit with mustard cream and mushrooms;a
Japanese pearls with coconut milk and pitaya;a
Easy Sangria;an
Prune and raisin cake;a
Chocolate orange ganache;a
Chicken tagine with butternut;a
