Item,Sing1,Sing2
Dried apricots,of,of
Agar-agar,of,of
Garlic,of,of
Dehydrated garlic,of,of
Garlic powder,of,of
Chicken wing(s),of,of
Slivered almonds,of,of
Vanilla slivered almonds,of,of
Powdered almonds,of,of
Roasted almonds,of,of
Amaretto,of,of
Pineapple,of,of
Victoria pineapple,of,of
Andouillette(s),of,of
Dill,of,of
Chopped dill,of,of
Armagnac,of,of
Lemon vanilla flavor,of,of
Bitter almond aroma,of,of
Vanilla flavor,of,of
White asparagus,of,of
Green asparagus(s),of,of
Eggplant(s),of,of
Avocado(s),of,of
Bacon,of,of
Baguette,of,of
Banana(s),of,of
Tray(s) of button mushrooms,of,of
Cherry tomato tray(s),of,of
Basil,of,of
Nice apples,of,of
Thick slices of farmhouse bread,of,of
Beet(s),of,of
Red beet(s),of,of
Butter,of,of
Peanut butter,of,of
Semi-salted butter,of,of
Soft butter,of,of
Salted butter,of,of
Soft butter,of,of
Bicarbonate of soda,of,of
Spoon cookies,of,of
White egg(s),of,of
White leek(s),of,of
Chicken breast(s),of,of
Chard(s),of,of
Jar of pickled bell pepper(s),of,of
Broth,of,of
Vegetable broth cube,of,of
Beef broth,of,of
Vegetable broth,of,of
Chicken broth,of,of
Poultry broth,of,of
Parsley bouquet,of,of
Garnished bouquet(s),of,of
Boursin(s),of,of
Bottle(s) brut champagne,of,of
Bottle(s) red wine,of,of
Can(s) tomato paste,of,of
Celery stalk(s),of,of
Blue Bresse,of,of
Brioche,of,of
Brick(s) of liquid crème fraîche,of,of
Brocoli(s),of,of
Fennel bulb,of,of
Bulot(s),of,of
Burrata,of,of
Goat's cheese log,of,of
Beef,of,of
Ground beef,of,of
Bitter cocoa,of,of
Bitter cocoa powder,of,of
Cocoa powder,of,of
Unsweetened cocoa powder,of,of
Coffee,of,of
Soluble coffee,of,of
Camembert,of,of
Duck(s),of,of
Cancoillotte,of,of
Cinnamon,of,of
Cinnamon powder,of,of
Caramel,of,of
Salted butter caramel,of,of
Cardamom,of,of
Carotte(s),of,of
Fresh square,of,of
Brown sugar,of,of
Caviar,of,of
Chervil,of,of
Cherries,of,of
Walnut kernels,of,of
Sausage meat,of,of
Mushrooms,of,of
Paris mushrooms,of,of
Chanterelle(s),of,of
Chantilly,of,of
Breadcrumbs,of,of
Cheddar,of,of
Chipolatas,of,of
Chocolate,of,of
Bitter chocolate powder,of,of
Milk chocolate,of,of
White chocolate,of,of
Chocolate powder,of,of
Dark chocolate,of,of
50% dark chocolate,of,of
Dark pastry chocolate,of,of
70% cocoa dark chocolate,of,of
Dark baking chocolate,of,of
Pastry chocolate,of,of
Chorizo,of,of
Mild chorizo,of,of
Strong chorizo,of,of
White cabbage,of,of
Brussels sprouts,of,of
Kohlrabi,of,of
Green cabbage,of,of
